topic0
人,0.022903683
自分,0.016474457
会社,0.014194324
情報,0.012465477
年収,0.00995398
企業,0.008524116
社員,0.004810275
ビジネス,0.00473077
悩み,0.0041427044
livedoor,0.00399279
野菜,0.003660799
環境,0.003621033
コンテンツ,0.0035166037
鍋,0.003495194
オフィス,0.003114188
歯,0.003031612
事業,0.0029615734
コーヒー,0.0029289532
店,0.0028890034
こだわり,0.002746589
topic1
アプリ,0.029052725
写真,0.01994193
画面,0.016527778
記事,0.013762963
iPhone,0.011329777
人,0.008780935
ゲーム,0.006356592
Android,0.006165193
無料,0.0060058376
情報,0.0057546073
タップ,0.005489776
話題,0.005463772
月,0.0052644173
ニュース,0.0051955786
クリック,0.0050321603
価格,0.0043876586
サイト,0.0043174587
カメラ,0.004223726
画像,0.0041782707
方法,0.0041656583
topic2
ソフトウェア,0.0149901565
製品,0.0102802925
フォン,0.009914047
月,0.008680992
記事,0.008437446
情報,0.007988056
端末,0.007714531
パソコン,0.007626704
ユーザー,0.0074657947
データ,0.0063288244
PC,0.006309698
デジタル,0.006272244
テレビ,0.0059121945
Fi,0.0057138414
アップデート,0.005426779
機器,0.005269122
デジ,0.005159416
タブレット,0.0050343857
話題,0.0050250506
モバイル,0.004785482
topic3
モデル,0.018748285
D,0.016628742
フォン,0.016519254
Android,0.012553292
月,0.011914803
機種,0.011243666
バッテリー,0.009370007
S,0.008660232
カメラ,0.008332781
本体,0.008050866
NTT,0.0074593136
容量,0.0072271903
PHONE,0.007107704
サイズ,0.0070757903
SH,0.006887793
夏,0.006885277
ディスプレイ,0.0064927586
MAX,0.006464806
画面,0.005888696
GHz,0.005849989
topic4
月,0.012376669
肌,0.011516719
女性,0.007870749
人,0.0074517266
効果,0.0059182635
孫,0.0055426224
ケア,0.0053554066
商品,0.0047585163
アイテム,0.0047546816
社長,0.004612153
美容,0.004478746
気,0.004367379
人気,0.0042543113
話題,0.004134574
香り,0.004124763
女子,0.004050116
夏,0.003943627
体,0.003908611
ブランド,0.0036513351
自分,0.0034815255
topic5
映画,0.03839898
月,0.021275992
作品,0.0145581905
本,0.009217909
記事,0.0068361307
世界,0.006778462
ドラマ,0.0066089067
ネット,0.0060641053
映像,0.0057521476
情報,0.005720211
女性,0.0048859348
シーン,0.0047655073
姿,0.00454272
人気,0.004404778
全国,0.004396419
声,0.004349577
話題,0.004270971
女優,0.0041911523
掲示板,0.003960827
人,0.0039432
topic6
月,0.014068497
話題,0.0119528705
ネット,0.010070438
世界,0.009909721
映画,0.008792777
番組,0.008599778
記事,0.008545809
ファン,0.0065545314
AKB,0.0062888847
自転車,0.0060999882
声,0.005576976
サイト,0.005406385
人気,0.0052434066
情報,0.0048106075
映像,0.0045171916
ユーザー,0.004345751
イベント,0.0041177087
掲示板,0.0038668457
テレビ,0.0038215131
本,0.0037625947
topic7
人,0.027818915
女性,0.02518924
自分,0.023220873
女,0.019392304
男性,0.017262464
相手,0.0104218805
男,0.010342746
気,0.0067145037
女子,0.0065143495
気持ち,0.0059434082
友達,0.0055547175
子供,0.0052682706
言葉,0.0043133674
心,0.004184662
会社,0.004119294
友人,0.00404302
時代,0.0037783475
人生,0.0037569066
夫,0.0037297118
恋,0.0036257564
topic8
選手,0.022865308
サッカー,0.012552371
野球,0.011376764
チーム,0.010102114
五輪,0.009444443
ネット,0.008396458
プロ,0.008146289
番組,0.008061454
女子,0.0077427407
月,0.0069783684
ファン,0.0065608597
スポーツ,0.0063426425
世界,0.0059935
掲示板,0.005574905
大会,0.005563488
声,0.005162684
なでしこ,0.0050735935
自分,0.0050707036
W,0.00461995
記事,0.0044904454
